"","type1","name1","type2","name2"
"315","protein_coding","C230081A13Rik","Simple_repeat","(CATA)n"
"316","processed_transcript","5830428H23Rik","SINE","B1_Mus2"
"317","protein_coding","Sacm1l","Low_complexity","GA-rich"
"318","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"319","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"320","LTR","IAPEz-int","LTR","IAPEz-int"
"321","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"322","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"323","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"324","LTR","IAPEz-int","LTR","IAPEz-int"
"325","protein_coding","Arhgap23","LINE","Lx4A"
"326","protein_coding","Veph1","lincRNA","Gm11033"
"327","LTR","IAPEz-int","LTR","IAPEz-int"
"328","protein_coding","Adarb2","protein_coding","Slc35f1"
"329","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"330","protein_coding","Wdr66","protein_coding","Camk4"
"331","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"332","protein_coding","Ganc","protein_coding","Gadl1"
"333","protein_coding","Sgms1","protein_coding","Negr1"
"334","LTR","IAPEz-int","protein_coding","Pip4k2a"
"335","LTR","IAPEz-int","protein_coding","Atp2b2"
"336","LTR","MTE2a","LTR","ORR1D1"
"337","protein_coding","Cep120","LINE","L1_Mus3"
"338","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"339","LTR","IAPEz-int","LTR","IAPEz-int"
"340","LTR","IAPEz-int","LTR","IAPEz-int"
"341","LTR","MTA_Mm","protein_coding","Vps4a"
"342","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"343","LTR","IAPEz-int","LTR","IAPEz-int"
"344","DNA","Tigger11a","LTR","IAPEz-int"
"345","LTR","IAPEz-int","protein_coding","Med1"
"346","protein_coding","Phkb","protein_coding","Clns1a"
"347","LTR","IAPEz-int","LTR","IAPEz-int"
"348","LTR","MYSERV6-int","protein_coding","Cdk12"
"349","protein_coding","Nxn","protein_coding","Trip4"
"350","LTR","IAPEz-int","LTR","IAPEz-int"
"351","LTR","MERVK26-int","protein_coding","Rab38"
"352","protein_coding","Scap","rRNA_repeat","LSU-rRNA_Hsa"
"353","LTR","IAPEz-int","protein_coding","Ncam1"
"354","Simple_repeat","(TATAA)n","protein_coding","Ccdc69"
"355","LTR","IAPEz-int","SINE","B1_Mm"
"356","protein_coding","Sema6d","Simple_repeat","(GA)n"
"357","SINE","B3","protein_coding","Cdh4"
"358","LINE","Lx2B","LTR","IAPEz-int"
"359","protein_coding","Pcsk5","LINE","L1Md_T"
"360","protein_coding","Sacm1l","protein_coding","Negr1"
"361","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"362","protein_coding","Sppl3","protein_coding","Dlgap1"
"363","protein_coding","Cntn3","protein_coding","Ckap5"
"364","LTR","IAPEz-int","LTR","IAPEz-int"
"365","protein_coding","Edc3","protein_coding","Gm7247"
"366","LINE","L1_Mur2","SINE","RSINE1"
"367","SINE","B3A","protein_coding","Dmd"
"368","rRNA_repeat","LSU-rRNA_Hsa","LINE","Lx4B"
"369","protein_coding","Rps6ka5","protein_coding","Omd"
"370","protein_coding","Epha6","protein_coding","Mctp1"
"371","LTR","IAPEz-int","LTR","IAPEz-int"
"372","protein_coding","Cadps2","LINE","L1Md_F2"
"373","protein_coding","Sacm1l","protein_coding","Fut8"
"374","SINE","B4A","protein_coding","Dlg2"
"375","protein_coding","Sacm1l","protein_coding","Grm3"
"376","protein_coding","Gpm6b","protein_coding","Dync1h1"
"377","protein_coding","Camk1d","LTR","IAPEz-int"
"378","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Atp8a2"
"379","protein_coding","Oas3","protein_coding","Psd3"
"380","protein_coding","Dcaf6","protein_coding","Ankrd11"
"381","LTR","IAPEz-int","LTR","IAPEz-int"
"382","protein_coding","Zc3h7a","LINE","L1Md_T"
"383","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"384","LTR","IAPEz-int","LTR","IAPEz-int"
"385","protein_coding","Cdh13","protein_coding","Trim24"
"386","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"387","protein_coding","Bmpr2","protein_coding","Mtor"
"388","LTR","IAPEz-int","LTR","IAPEz-int"
"389","protein_coding","Sacm1l","protein_coding","Zfp398"
"390","LTR","IAPEY3-int","protein_coding","Sec22b"
"391","LTR","MLT1A0","protein_coding","Epha3"
"392","protein_coding","Slc16a9","LTR","IAPEz-int"
"393","protein_coding","Nek10","protein_coding","Sacm1l"
"394","protein_coding","Sacm1l","protein_coding","Dlgap1"
"395","protein_coding","Rdh9","protein_coding","9130011E15Rik"
"396","LTR","IAPLTR2a","protein_coding","Lsamp"
"397","protein_coding","Fam172a","SINE","B2_Mm1t"
"398","protein_coding","Kcnd2","protein_coding","Usp9x"
"399","Simple_repeat","(TATATG)n","protein_coding","Ankdd1b"
"400","protein_coding","Trio","protein_coding","Nrg3"
"401","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"402","protein_coding","Mdga2","protein_coding","Fgf14"
"403","protein_coding","Serpine2","LTR","IAPEz-int"
